lang,year_month,n_questions,n_askers,gini,top10_share,hhi,questions_per_user,ari,post_copilot_beta,did_copilot_beta,post_copilot_ga,did_copilot_ga,post_chatgpt,did_chatgpt,post_gpt4,did_gpt4,post_llama2,did_llama2,post_code_llama,did_code_llama,post_devin,did_devin,post_claude35,did_claude35,lang_fe,month_fe
python,2018-01,15838,11460,0.24517627981568177,0.2826114408384897,0.0008019941011211812,1.382024432809773,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-01
python,2018-02,15898,11473,0.24849746779228432,0.28865266071203927,0.0009635903662550226,1.3856881373659897,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-02
python,2018-03,17519,12597,0.24914736761176107,0.28551857982761575,0.0007591767295088241,1.3907279510994681,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-03
python,2018-04,16600,12182,0.23586399447733472,0.2758433734939759,0.0005572652053999128,1.3626662288622557,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-04
python,2018-05,17176,12335,0.24967510590186362,0.28615510013972983,0.0006655390945305773,1.3924604783137413,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-05
python,2018-06,16424,11723,0.2538424097008894,0.2897588894301023,0.0008460421931337812,1.4010065682845687,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-06
python,2018-07,17558,12499,0.2549736636408985,0.2906367467820936,0.0006606065191373739,1.4047523801904152,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-07
python,2018-08,17359,12105,0.2687310771041803,0.3033584883921885,0.0006827984842551301,1.434035522511359,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-08
python,2018-09,15685,11323,0.24713479642922567,0.28524067580490914,0.0008129567922994637,1.3852335953369248,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-09
python,2018-10,17786,12770,0.2501703494631775,0.28769818958731586,0.0007150809752625921,1.3927956147220046,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-10
python,2018-11,17613,12626,0.25135595891421625,0.28961562482257425,0.0006683595226294083,1.3949786155552035,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-11
python,2018-12,15405,11300,0.2377759261014554,0.27880558260305094,0.0009026647287281059,1.3632743362831858,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2018-12
python,2019-01,16601,12112,0.2414455772785727,0.28227215227998315,0.0008163590363755022,1.3706241743725232,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2019-01
python,2019-02,17157,12550,0.24041872958129595,0.28349944629014395,0.0007727916594472553,1.3670916334661354,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2019-02
python,2019-03,19489,14037,0.247512788389355,0.2847760275026938,0.0006671271974893678,1.3884020802165704,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2019-03
python,2019-04,19434,14087,0.24410041046692746,0.28270042194092826,0.0005602356506992913,1.3795698161425427,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2019-04
python,2019-05,18482,13406,0.24457028424606508,0.28514230061681634,0.0005443868085702903,1.378636431448605,0.904,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,python,2019-05
