month,n_questions,avg_score,median_score,pct_negative,avg_views,pct_answered,pct_accepted,avg_length,avg_code,n_users,n_answers,avg_ans_score,qa_ratio
2018-01-01,161338,1.4304627552095601,0.0,9.124322850165491,2153.5063779146885,83.52588974699079,47.22570008305545,1644.492698558306,2.7614139260434616,107344,217541,2.5176725306953633,0.7416441038700751
2018-02-01,153963,1.3579496372505082,0.0,9.206107961003617,2046.188168585959,83.49668426829822,47.29318082916025,1663.7557205302573,2.7543370809869905,104203,207605,2.4070518532790635,0.7416150863418511
2018-03-01,174054,1.363099957484459,0.0,9.067300952577934,2023.0745056132005,82.92139221161248,46.52808898387857,1671.1716191526768,2.753564985579188,116649,233732,2.421414269334109,0.7446733866137285
2018-04-01,163428,1.3735161661404411,0.0,9.158773282424065,2045.1587182123014,82.63883789803461,46.07166458623981,1693.9931896615024,2.754142497001738,109744,219147,2.420749542544502,0.7457460061054908
2018-05-01,168537,1.4248859300925019,0.0,8.151325821629673,2030.564338987878,82.29884239069166,45.778078404148644,1686.9339966891544,2.772779864362128,112301,223958,2.481992159244144,0.7525384223827682
2018-06-01,155333,1.4088313494234965,0.0,8.716113124706276,2057.2632924104987,82.5079023774729,45.655462779963045,1668.0974615825355,2.75525483960266,103935,206141,2.463323647406387,0.753527925061002
2018-07-01,160541,1.3440927862664367,0.0,8.660093060339728,2008.324178870195,82.57641350184687,45.75778150129873,1684.9063292243104,2.7787356500831564,106813,216460,2.3791324032153747,0.7416658967014691
2018-08-01,159000,1.339188679245283,0.0,8.69245283018868,1950.265006289308,83.00125786163522,46.40188679245283,1676.534314465409,2.799308176100629,106063,218854,2.3486296800606796,0.7265117384192201
2018-09-01,145013,1.3609124699164903,0.0,8.663361215890989,1907.6444801500554,83.19392054505458,46.442043127167906,1672.2784577934392,2.7752891120106473,97925,199957,2.3698995283986055,0.7252209224983371
2018-10-01,160971,1.2419007150356276,0.0,9.181156854340223,1780.0452441744164,83.34482608668642,46.42202632772363,1652.508470469836,2.745488317771524,107905,220638,2.261731886619712,0.7295706088706387
2018-11-01,150247,1.257735595386264,0.0,8.756248044886087,1759.50502838659,82.80165327760288,46.30974328938348,1664.660079735369,2.7658655414084805,102543,201522,2.2581901727851053,0.7455612786693264
2018-12-01,132652,1.277568374393149,0.0,8.98742574555981,1776.6259687000572,83.06923378463951,46.45011006241896,1686.8612685824564,2.7869538340922113,91580,182359,2.287685280134241,0.7274222824209389
2019-01-01,150019,1.2298042247981922,0.0,8.774221931888627,1746.9826688619441,83.34077683493423,46.70741706050567,1703.2288843413169,2.8350675581093063,102073,208112,2.272540747289921,0.7208570385177212
2019-02-01,146824,1.1865635046041518,0.0,8.361711981692366,1677.816528632921,83.36852285729853,46.60886503568899,1690.5469950416825,2.7958099493270856,100505,202918,2.1424368464108654,0.723563212726323
