post_id,label_id,label
post_id,label_id,label
78328271,4,ERROR
78338808,4,ERROR
78319421,4,ERROR
78339449,4,ERROR
78377610,4,ERROR
78398320,4,ERROR
78388889,4,ERROR
78393278,4,ERROR
78254993,4,ERROR
78408675,4,ERROR
78319788,4,ERROR
78387721,4,ERROR
78392688,4,ERROR
78259767,4,ERROR
78265106,4,ERROR
78380523,4,ERROR
78327670,4,ERROR
78366054,4,ERROR
78394914,4,ERROR
78264524,4,ERROR
78347994,4,ERROR
78336828,4,ERROR
78305720,4,ERROR
78374739,4,ERROR
78294751,4,ERROR
78274136,4,ERROR
78288882,4,ERROR
78300949,4,ERROR
78388423,4,ERROR
78257311,4,ERROR
78372776,4,ERROR
78391063,4,ERROR
78307981,4,ERROR
78358131,4,ERROR
78344459,4,ERROR
78400455,4,ERROR
78310106,4,ERROR
78268258,4,ERROR
78330125,4,ERROR
78388929,4,ERROR
78410780,4,ERROR
78266778,4,ERROR
78347434,4,ERROR
78408191,4,ERROR
78353904,4,ERROR
78371502,4,ERROR
78301272,4,ERROR
78284761,4,ERROR
78383524,4,ERROR
78317821,4,ERROR
78355249,4,ERROR
78301437,4,ERROR
78295865,4,ERROR
78271015,4,ERROR
78410984,4,ERROR
78313772,4,ERROR
78322897,4,ERROR
78339167,4,ERROR
78389627,4,ERROR
78400266,4,ERROR
78369487,4,ERROR
78288665,4,ERROR
78294415,4,ERROR
78298375,4,ERROR
78279579,4,ERROR
78368073,4,ERROR
78287827,4,ERROR
78297445,4,ERROR
78358388,4,ERROR
78340594,4,ERROR
78266234,4,ERROR
78326149,4,ERROR
78269841,4,ERROR
78264530,4,ERROR
78343713,4,ERROR
78366188,4,ERROR
78411381,4,ERROR
78409648,4,ERROR
78366363,4,ERROR
78295038,4,ERROR
78370720,4,ERROR
78333840,4,ERROR
78266625,4,ERROR
78305981,4,ERROR
78342379,4,ERROR
78279823,4,ERROR
78307651,4,ERROR
78375119,4,ERROR
78287134,4,ERROR
78405555,4,ERROR
78359703,4,ERROR
78385493,4,ERROR
78300907,4,ERROR
78385667,4,ERROR
78301417,4,ERROR
78334758,4,ERROR
78366997,4,ERROR
78381566,4,ERROR
78333176,4,ERROR
78291694,4,ERROR
78348878,4,ERROR
78399400,4,ERROR
78315319,4,ERROR
78263286,4,ERROR
78301649,4,ERROR
78315870,4,ERROR
78306691,4,ERROR
78304036,4,ERROR
78367112,4,ERROR
78299531,4,ERROR
78272957,4,ERROR
78349934,4,ERROR
78367946,4,ERROR
78292545,4,ERROR
78365586,4,ERROR
78396045,4,ERROR
78355703,4,ERROR
78354610,4,ERROR
78371421,4,ERROR
78333326,4,ERROR
78340240,4,ERROR
78398622,4,ERROR
78411267,4,ERROR
78365878,4,ERROR
78342264,4,ERROR
78385153,4,ERROR
78256329,4,ERROR
78373980,4,ERROR
78373131,4,ERROR
78368412,4,ERROR
78404119,4,ERROR
78288578,4,ERROR
78274822,4,ERROR
78307096,4,ERROR
78327204,4,ERROR
78378102,4,ERROR
78356275,4,ERROR
78309675,4,ERROR
78405484,4,ERROR
78279193,4,ERROR
78329226,4,ERROR
78358666,4,ERROR
78380117,4,ERROR
78321216,4,ERROR
78324928,4,ERROR
78401092,4,ERROR
78401557,4,ERROR
78272892,4,ERROR
78282930,4,ERROR
78299076,4,ERROR
78383648,4,ERROR
78391553,4,ERROR
78335363,4,ERROR
78345055,4,ERROR
78305634,4,ERROR
78299678,4,ERROR
78354731,4,ERROR
78408815,4,ERROR
78311464,4,ERROR
78337596,4,ERROR
78339110,4,ERROR
78367639,4,ERROR
78310990,4,ERROR
78369715,4,ERROR
78284637,4,ERROR
78353923,4,ERROR
78367578,4,ERROR
78364961,4,ERROR
78410548,4,ERROR
78376362,4,ERROR
78349072,4,ERROR
78314515,4,ERROR
78394751,4,ERROR
78401636,4,ERROR
78354594,4,ERROR
78273394,4,ERROR
78372458,4,ERROR
78350209,4,ERROR
78316001,4,ERROR
78398996,4,ERROR
78348036,4,ERROR
78411202,4,ERROR
78347092,4,ERROR
78352244,4,ERROR
78258461,4,ERROR
78348610,4,ERROR
78322189,4,ERROR
78370674,4,ERROR
78381613,4,ERROR
78360123,4,ERROR
78396642,4,ERROR
78322922,4,ERROR
78356713,4,ERROR
78393258,4,ERROR
78298555,4,ERROR
78298487,4,ERROR
78271090,4,ERROR
78368287,4,ERROR
78409135,4,ERROR
78319522,4,ERROR
78366661,4,ERROR
78392534,4,ERROR
78269113,4,ERROR
78297309,4,ERROR
78309804,4,ERROR
78326084,4,ERROR
78402347,4,ERROR
78334616,4,ERROR
78404388,4,ERROR
78382074,4,ERROR
78300823,4,ERROR
78377979,4,ERROR
78362916,4,ERROR
78394663,4,ERROR
78382233,4,ERROR
78342283,4,ERROR
78393344,4,ERROR
78257054,4,ERROR
78277200,4,ERROR
78316570,4,ERROR
78335850,4,ERROR
78328474,4,ERROR
78342216,4,ERROR
78304830,4,ERROR
78399765,4,ERROR
78282781,4,ERROR
78347474,4,ERROR
78381170,4,ERROR
78405685,4,ERROR
78302031,4,ERROR
78323579,4,ERROR
78369831,4,ERROR
78304372,4,ERROR
78391378,4,ERROR
78394289,4,ERROR
78392747,4,ERROR
78346676,4,ERROR
78275328,4,ERROR
78409949,4,ERROR
78281940,4,ERROR
78381685,4,ERROR
78368680,4,ERROR
78350341,4,ERROR
78271540,4,ERROR
78347572,4,ERROR
78320762,4,ERROR
78332952,4,ERROR
78382379,4,ERROR
78367878,4,ERROR
78334352,4,ERROR
78403564,4,ERROR
78285959,4,ERROR
78396549,4,ERROR
78313112,4,ERROR
78270250,4,ERROR
78293715,4,ERROR
78374133,4,ERROR
78355244,4,ERROR
78299759,4,ERROR
78368485,4,ERROR
78382516,4,ERROR
78256202,4,ERROR
78327635,4,ERROR
78377563,4,ERROR
78387338,4,ERROR
78370397,4,ERROR
78324094,4,ERROR
78340927,4,ERROR
78266256,4,ERROR
78390001,4,ERROR
78254372,4,ERROR
78270511,4,ERROR
78284466,4,ERROR
78389387,4,ERROR
78321569,4,ERROR
78313733,4,ERROR
78304843,4,ERROR
78320021,4,ERROR
78314162,4,ERROR
78348773,4,ERROR
78387303,4,ERROR
78349482,4,ERROR
78410477,4,ERROR
78312416,4,ERROR
78400289,4,ERROR
78389427,4,ERROR
78365571,4,ERROR
78292021,4,ERROR
78399535,4,ERROR
78364357,4,ERROR
78288176,4,ERROR
78379929,4,ERROR
78371403,4,ERROR
78291000,4,ERROR
78372168,4,ERROR
78281961,4,ERROR
78312866,4,ERROR
78295116,4,ERROR
78400038,4,ERROR
78373812,4,ERROR
78358974,4,ERROR
78406733,4,ERROR
78262927,4,ERROR
78284377,4,ERROR
78355837,4,ERROR
78306197,4,ERROR
78381338,4,ERROR
78332137,4,ERROR
78407978,4,ERROR
78409815,4,ERROR
78406712,4,ERROR
78323192,4,ERROR
78374283,4,ERROR
78407617,4,ERROR
78402598,4,ERROR
78283228,4,ERROR
78278647,4,ERROR
78313735,4,ERROR
78402181,4,ERROR
78384244,4,ERROR
78400324,4,ERROR
78366513,4,ERROR
78386373,4,ERROR
78307649,4,ERROR
78324365,4,ERROR
78381023,4,ERROR
78317078,4,ERROR
78404502,4,ERROR
78352373,4,ERROR
78270984,4,ERROR
78319395,4,ERROR
78313368,4,ERROR
